日付	部門	品目	金額
2026-06-01	営業	交通費	100円
2026-06-02	営業	交通費	200円
2026-06-03	営業	交通費	1000円
2026-06-04	営業	交通費	400円
2026-06-05	営業	交通費	500円
2026-06-06	営業	交通費	600円
2026-06-07	営業	交通費	700円
2026-06-08	営業	交通費	800円
2026-06-09	営業	交通費	900円
2026-06-10	営業	交通費	1000円
2026-06-11	営業	交通費	1100円
2026-06-12	営業	交通費	1200円
2026-06-13	営業	交通費	1300円
2026-06-14	営業	交通費	1400円
2026-06-15	営業	交通費	1500円
2026-06-16	営業	交通費	1600円
2026-06-17	営業	交通費	1700円
2026-06-18	営業	交通費	1800円
2026-06-19	営業	交通費	1900円
2026-06-20	営業	交通費	2000円
2026-06-21	営業	交通費	2100円
2026-06-22	営業	交通費	2200円
2026-06-23	営業	交通費	2300円
2026-06-24	営業	交通費	2400円
2026-06-25	営業	交通費	2500円
2026-06-26	営業	交通費	2600円
2026-06-27	営業	交通費	2700円
2026-06-28	営業	交通費	2800円
2026-06-29	営業	交通費	2900円
2026-06-30	営業	交通費	3000円
